0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:22:23 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:28 -0700] "GET /eventAdmin/calendar.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:28 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:31 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:31 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 7974
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:31 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:31 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:50 -0700] "POST /eventAdmin/login.do;jsessionid=FFD670124E0A69979A3DD2048D4ECCB7 HTTP/1.1" 200 15703
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:50 -0700] "GET /eventAdmin/treeMenuCode.js HTTP/1.1" 200 15367
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:50 -0700] "GET /eventAdmin/theme/Master.css HTTP/1.1" 200 1529
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:50 -0700] "GET /eventAdmin/main.jsp HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:50 -0700] "GET /eventAdmin/img/ad_system_login.jpg HTTP/1.1" 200 38846
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:50 -0700] "GET /eventAdmin/img/ad_system_quote.jpg HTTP/1.1" 200 181810
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:50 -0700] "GET /eventAdmin/companyLogo.jsp HTTP/1.1" 500 3978
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:50 -0700] "GET /eventAdmin/treeMenu.jsp HTTP/1.1" 500 3948
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:55 -0700] "POST /eventAdmin/login.do;jsessionid=FFD670124E0A69979A3DD2048D4ECCB7 HTTP/1.1" 200 15703
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/treeMenu.jsp HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/companyLogo.jsp HTTP/1.1" 200 754
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/main.jsp HTTP/1.1" 200 726
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /files/uploadEventAdmin/company_logo_2_Logo%20Candilejas.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/Menu_graphics/menu_folder_closed.png HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/Menu_graphics/menu_folder_open.png HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/img/logoBituos.jpg HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/Menu_graphics/menu_bar.gif HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/Menu_graphics/menu_root.png HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/Menu_graphics/menu_tee.gif HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/Menu_graphics/menu_corner.gif HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/img/button_logout.gif HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:56 -0700] "GET /eventAdmin/Menu_graphics/menu_link_local.png HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:58 -0700] "GET /eventAdmin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:58 -0700] "GET /eventAdmin/links.jsp HTTP/1.1" 200 15703
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:58 -0700] "GET /eventAdmin/treeMenu.jsp HTTP/1.1" 200 963
0:0:0:0:0:0:0:1 - - [13/Nov/2019:18:23:58 -0700] "GET /eventAdmin/companyLogo.jsp HTTP/1.1" 200 754
