0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:22 -0700] "GET /eventAdmin/Menu_graphics/menu_folder_closed.png HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:22 -0700] "GET /eventAdmin/img/logoBituos.jpg HTTP/1.1" 200 6257
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:22 -0700] "GET /eventAdmin/Menu_graphics/menu_corner.gif HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:22 -0700] "GET /eventAdmin/Menu_graphics/menu_tee.gif HTTP/1.1" 200 853
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:22 -0700] "GET /eventAdmin/Menu_graphics/menu_root.png HTTP/1.1" 200 516
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:22 -0700] "GET /eventAdmin/img/button_logout.gif HTTP/1.1" 200 1057
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:22 -0700] "GET /files/uploadEventAdmin/company_logo_2_Logo%20Candilejas.png HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:26 -0700] "GET /eventAdmin/Menu_graphics/menu_link_local.png HTTP/1.1" 200 462
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:26 -0700] "GET /eventAdmin/Menu_graphics/menu_bar.gif HTTP/1.1" 200 849
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:26 -0700] "GET /eventAdmin/Menu_graphics/menu_folder_open.png HTTP/1.1" 200 533
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/pre.jsp?&process=%27quoteNew%27&action=%27pre.do%27&target=%27%27 HTTP/1.1" 200 756
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "POST /eventAdmin/pre.do HTTP/1.1" 200 18329
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/WhiteChromeGridView.css HTTP/1.1" 200 1528
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/js/utilajax.js HTTP/1.1" 200 977
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/bootstrap.min.css HTTP/1.1" 200 155758
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/js/bootstrap.min.js HTTP/1.1" 200 37608
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/js/tempusdominus-bootstrap-4/tempusdominus-bootstrap-4.min.css HTTP/1.1" 200 9064
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/js/ajaxfile.js HTTP/1.1" 200 828
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/js/jquery.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/js/tempusdominus-bootstrap-4/tempusdominus-bootstrap-4.min.js HTTP/1.1" 200 56581
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/js/moment.2.22.2/moment.min.js HTTP/1.1" 200 51679
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/getSystemDate.js HTTP/1.1" 200 866
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/Calendar/calendar.js HTTP/1.1" 200 16656
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/Calendar/mycalendar.js HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/js/moment.2.22.2/moment-with-locales.min.js HTTP/1.1" 200 326657
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:30 -0700] "GET /eventAdmin/GridViewCSSThemes/Images/HeaderWhiteChrome.jpg HTTP/1.1" 200 333
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:32 -0700] "POST /eventAdmin/quoteNew.do HTTP/1.1" 200 31087
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:34 -0700] "POST /eventAdmin/quoteNew.do HTTP/1.1" 200 7321
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:34 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:34 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 2145
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:34 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 12281
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:35 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3907
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:35 -0700] "POST /eventAdmin/calendarSchedule HTTP/1.1" 200 3150
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:39 -0700] "GET /eventAdmin/calendar.html HTTP/1.1" 200 7149
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:39 -0700] "GET /eventAdmin/tui.calendar-master/examples/css/bootstrap.min.css HTTP/1.1" 200 117150
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:39 -0700] "GET /eventAdmin/tui.calendar-master/examples/css/tui-time-picker.css HTTP/1.1" 200 10008
0:0:0:0:0:0:0:1 - - [03/Dec/2019:17:24:39 -0700] "GET /eventAdmin/tui.calendar-master/examples/css/tui-date-picker.css HTTP/1.1" 200 20522
