what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552503746863
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552503749949
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552503757646
error,log,,,"Errors occurred during the build.",1552503757649
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552503757766
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552503758898
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552503761865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552503897945
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552503900064
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552503902815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552503904185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552503983162
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1552503988230
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552504005608
error,log,,,"Errors occurred during the build.",1552504005938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552504006111
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552504037922
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1552504047667
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552504065675
error,log,,,"Errors occurred during the build.",1552504065837
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552504065994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552504070169
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552504305473
error,log,,,"Errors occurred during the build.",1552504305477
