what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333336667
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333339803
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.refresh",1378333342938
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333344498
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333353094
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333355372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333370910
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333376666
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333378039
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.delete",1378333378039
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333382735
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333384029
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.delete",1378333384045
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333385683
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333392641
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1378333393639
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.stop",1378333393733
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1378333394483
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333394811
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333396047
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1378333396063
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333412084
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333413769
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.run",1378333416967
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1378333417669
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1378333419249
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333420163
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333447493
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201101262225,"org.eclipse.jst.jsp.core.jspsource.source",1378333448632
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1378333451580
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201101262225,"org.eclipse.jst.jsp.core.jspsource.source",1378333453390
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1378333472828
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201101262225,"org.eclipse.jst.jsp.core.jspsource.source",1378333476073
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333478865
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333481252
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1378333482406
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.stop",1378333482515
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1378333483017
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1378333484191
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333484331
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333484425
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1378333484440
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333495501
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333520539
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201101262225,"org.eclipse.jst.jsp.core.jspsource.source",1378333521569
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1378333527341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333529026
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333531506
activated,editor,org.eclipse.jst.jsp.ui,1.1.600.v201101262225,"org.eclipse.jst.jsp.core.jspsource.source",1378333533296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333537290
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333588786
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1378333589956
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.debug",1378333591485
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1378333592405
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1378333594572
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333595071
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1378333615291
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.stop",1378333618919
