what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1573085831100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085833934
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085863774
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1573085863920
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1573085867670
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1573085869235
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1573085873527
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.copy",1573085889957
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1573085893485
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1573085893901
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1573085896285
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1573085897489
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085898976
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085930432
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.cut",1573085932815
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085933845
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085940086
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1573085947799
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085949185
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085956474
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1573085956512
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1573085959973
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1573085962112
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1573085962528
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1573085962901
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1573085964313
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1573085967863
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1573085972199
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085980981
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085982685
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1573085985087
started,bundle,org.eclipse.wst.jsdt.debug.core,2.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.core",1573085991869
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1573085992100
