what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402004878426
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402004897368
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1402004924812
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402004925313
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402004927695
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.copy",1402004936087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402004943247
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005421150
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1402005425910
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1402005427110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005428410
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005457818
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005461834
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005466508
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.undo",1402005468101
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1402005473966
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.copy",1402005479826
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1402005490435
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.delete",1402005496761
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1402005498004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005498512
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005531777
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.copy",1402005536555
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1402005537657
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1402005538565
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005538978
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005545808
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1402005546860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005548500
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005556121
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005557953
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005558708
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005566036
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005572399
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.stop",1402005575095
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1402005575670
activated,view,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.ui.ServersView",1402005576771
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005578005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1402005585685
executed,command,org.eclipse.wst.server.ui,1.1.305.v20110110b,"org.eclipse.wst.server.debug",1402005588082
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1402005589119
