what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618915094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618933599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618936020
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618940224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618940231
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618969599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618972560
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618981053
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618982412
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.findReplace",1435618982444
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1435618982629
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435618984921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435619002778
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.findReplace",1435619002806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435619016318
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435619053748
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435619055661
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435619058268
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435619078035
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1435619080860
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435619081451
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1435619097486
started,bundle,org.eclipse.jst.jsf.ui,1.3.1.v201101232138,"org.eclipse.jst.jsf.ui",1435619109672
started,bundle,org.eclipse.mylyn.java.tasks,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.tasks",1435619109864
started,bundle,org.eclipse.jst.jsf.facelet.ui,1.0.0.v201101232138,"org.eclipse.jst.jsf.facelet.ui",1435619109912
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.cut",1435619110924
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1435619113317
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.copy",1435619121756
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1435619122578
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1435619123871
