what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501071914
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552501075649
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552501075780
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501078040
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552501078040
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501079478
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1552501088043
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1552501088158
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501095096
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1552501095096
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501097344
opened,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1552501101113
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1552501101236
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501105218
closed,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1552501105219
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501107271
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552501112646
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552501112768
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501130071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501135052
started,bundle,org.eclipse.ui.externaltools,3.2.0.v20110124,"org.eclipse.ui.externaltools",1552501137761
started,bundle,org.eclipse.wst.common.modulecore.ui,1.0.102.v201201262000,"org.eclipse.wst.common.modulecore.ui",1552501140630
started,bundle,org.eclipse.jst.common.ui,1.0.101.v201201262000,"org.eclipse.jst.common.ui",1552501140705
started,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20110110-1230,"org.eclipse.jdt.apt.ui",1552501155289
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501174920
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.properties",1552501174961
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501178045
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501178173
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501180938
error,log,,,"Launch shortcut 'org.eclipse.wst.jsdt.debug.rhino.ui.launch.shortcut' enablement expression caused exception. Shortcut was removed.",1552501210152
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501238489
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.properties",1552501238618
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1552501240510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501242724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501243921
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501243942
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552501255768
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501255971
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.delete",1552501255973
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501266535
started,bundle,org.eclipse.jst.server.generic.core,1.0.700.v20101219,"org.eclipse.jst.server.generic.core",1552501273401
started,bundle,org.eclipse.jst.server.preview.adapter,1.1.100.v20100308,"org.eclipse.jst.server.preview.adapter",1552501273404
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.launchShortcut.debug",1552501273481
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1552501275158
started,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1552501278471
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1552501280088
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1552501282918
started,bundle,org.eclipse.ui.browser,3.3.100.v20101220,"org.eclipse.ui.browser",1552501283105
opened,editor,org.eclipse.ui.browser,3.3.100.v20101220,"org.eclipse.ui.browser.editor",1552501283601
activated,editor,org.eclipse.ui.browser,3.3.100.v20101220,"org.eclipse.ui.browser.editor",1552501283679
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.copy",1552501291224
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501292419
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501299399
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552501299631
closed,editor,org.eclipse.ui.browser,3.3.100.v20101220,"org.eclipse.ui.browser.editor",1552501299632
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501305148
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552501305148
closed,editor,org.eclipse.jdt.ui,3.7.0.v20110126-1300,"org.eclipse.jdt.ui.CompilationUnitEditor",1552501306952
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501307885
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1552501309143
closed,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501309143
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501313477
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501327846
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501327881
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501331528
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501331594
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501337403
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501363431
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501364729
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.findReplace",1552501364759
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501373117
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501377693
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501852037
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.paste",1552501853730
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1552501857509
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501860773
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.refresh",1552501863723
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501864003
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552501877634
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501893683
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501893718
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552501896896
error,log,,,"Errors occurred during the build.",1552501896935
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501897042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501898432
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501905967
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.findReplace",1552501906002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501913284
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552501920753
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.refresh",1552501970915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501985853
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501991240
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552501991278
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.undo",1552501993926
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.undo",1552501994667
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1552501996004
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552501997534
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552502015344
error,log,,,"Errors occurred during the build.",1552502015385
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502017426
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502022600
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502094647
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552502097178
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.refresh",1552502099354
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502101999
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502106263
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1552502106291
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.redo",1552502107466
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.edit.redo",1552502109376
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502111555
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552502118050
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502118164
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.save",1552502118180
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552502132970
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.refresh",1552502134554
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502134834
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552502136627
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502163057
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.refresh",1552502165531
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502168652
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502175032
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1552502175041
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.debug",1552502177531
activated,view,org.eclipse.ui.console,3.5.100.v20110126,"org.eclipse.ui.console.ConsoleView",1552502178628
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20101116-0800,"org.eclipse.ui.navigator.ProjectExplorer",1552502180301
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.refresh",1552502181510
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502181789
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.core.resources"".",1552502184073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1552502249235
executed,command,org.eclipse.ui,3.7.0.I20110127-0800,"org.eclipse.ui.file.refresh",1552502251867
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1552502253247
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1552502254483
