what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1456876664120
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1456876664120
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1456876664123
os,sysinfo,,,"win32",1456876664126
arch,sysinfo,,,"x86_64",1456876664126
ws,sysinfo,,,"win32",1456876664126
locale,sysinfo,,,"en_US",1456876664126
processors,sysinfo,,,"4",1456876664126
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1456876664126
java.runtime.version,sysinfo,,,"1.6.0_27-b07",1456876664126
java.specification.name,sysinfo,,,"Java Platform API Specification",1456876664126
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1456876664126
java.specification.version,sysinfo,,,"1.6",1456876664126
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1456876664126
java.version,sysinfo,,,"1.6.0_27",1456876664126
java.vm.info,sysinfo,,,"mixed mode",1456876664126
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1456876664126
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1456876664126
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1456876664126
java.vm.specification.version,sysinfo,,,"1.0",1456876664126
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1456876664126
java.vm.version,sysinfo,,,"20.2-b06",1456876664126
started,bundle,org.eclipse.jst.servlet.ui,1.1.502.v201202011054,"org.eclipse.jst.servlet.ui",1456876664397
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1456876665051
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110127-0800,"",1456876665722
started,bundle,org.eclipse.core.externaltools,1.0.100.v20100830,"org.eclipse.core.externaltools",1456876667426
